date,race,mode,banker_no,banker_name,legs,banker_finish,legs_finish,win_hit,qin_hit,qpl_hit,pnl_est
20260408,9,banker_qpl,1,SIGHT HERMOSO,#4 MIGHTY COMMANDER|#3 RED SEA|#6 FLYING WROTE|#9 VULCANUS|#5 SUPER JOY N FUN|#2 HARMONY N BLESSED,1,4:8|3:11|6:5|9:10|5:4|2:2,True,True,True,3.83
20260412,1,skip,,,,,,False,False,False,0.00
20260412,2,box_qin,,,#6 WINNING DIAMOND|#3 SETANTA|#2 ONE LOVE|#10 YEE CHEONG RAIDER|#11 PANDA LEGEND|#7 BASIC INSTINCT|#13 MR GOOD VIBES|#5 WINNING CIGAR,,6:4|3:8|2:12|10:2|11:5|7:13|13:14|5:6,False,False,False,-1.00
20260412,3,banker_qpl,2,DASHING MAURISON,#7 COOL BLUE|#1 BEAUTY MISSILE|#10 GOLD TACK|#9 WINDICATOR FAMILY|#4 RATTAN GALAXY|#14 THE WAY WE WIN|#8 SPEEDY TRIDENT,9,7:4|1:10|10:7|9:2|4:11|14:5|8:14,False,False,False,-1.00
20260412,4,banker_qpl,2,HAPPY BOSS,#7 INVICTUS DRAGON|#1 EIGHTY LIGHT YEARS|#14 THE CONCENTRATION|#12 SUPREME FEELING|#8 CHEERFUL WONGCHOY|#10 GOLDEN WIN|#11 SWEET BRIAR,1,7:5|1:4|14:7|12:14|8:8|10:9|11:13,True,False,False,-1.00
20260412,5,banker_qpl,4,CALL ME SPARKLE,#3 CONRAD PATCH|#2 VICTOR THE RAPID|#12 RUBY SAILING|#6 JUBILANT STAR|#10 GORGEOUS VICTORY|#11 FULL OF LAUGHTER|#7 SMILING CHAMPION|#9 CHATER FLASH,4,3:5|2:6|12:8|6:9|10:3|11:12|7:10|9:11,False,False,False,-1.00
20260412,6,box_qin,,,#1 BABY SAKURA|#2 ELITE GOLF|#10 LEADING DRAGON|#5 FLYING SNIPER|#6 HEROIC VANGUARD|#8 SUPER RUBICK KID|#4 LO PAN SPIRIT|#12 AQUAMAN,,1:3|2:1|10:2|5:5|6:11|8:7|4:12|12:10,False,True,True,-0.23
20260412,7,box_qin,,,#9 SHOTGUN|#11 JUST FOLLOW ME|#10 SUPER DRAGON|#3 FORZA TORO|#4 MASTER PHOENIX|#1 FLYING FORTUNE|#8 LUCKY GIBS|#12 LUCKY SECRET,,9:4|11:7|10:5|3:2|4:8|1:6|8:12|12:14,False,False,False,-1.00
20260412,8,banker_qpl,4,ENDUED,#7 AMAZING PARTNERS|#1 MISTER DAPPER|#11 RISING PHOENIX|#12 WITHALLMYFAITH|#10 LEGEND WINNER|#9 HYMNBOOK|#8 HAPPY TERCENTENARY|#3 WINDLORD|#6 SHANWAH,8,7:1|1:2|11:4|12:3|10:9|9:5|8:10|3:7|6:6,False,False,False,-1.00
20260412,9,banker_qpl,11,POSITIVE SMILE,#1 ENDEARED|#9 PRAY FOR JUSTICE|#10 FLASH CURRENT|#12 REFUSETOBEENGLISH|#4 OUTGATE|#6 COMPLETE UNKNOWN,6,1:2|9:7|10:9|12:8|4:11|6:5,False,False,False,-1.00
